0,1,2,3,4,5,6,7
958,354,1146,354,1146,377,958,377
1190,354,1272,354,1272,377,1190,377
136,356,286,356,286,379,136,379
343,356,446,356,446,377,343,377
574,396,836,396,836,429,574,429
83,407,230,407,230,431,83,431
919,407,1082,407,1082,431,919,431
1122,407,1240,411,1239,434,1121,430
286,409,394,409,394,435,286,435
1201,457,1296,462,1295,489,1200,484
115,463,288,463,288,486,115,486
352,463,437,463,437,486,352,486
971,463,1150,463,1150,486,971,486
587,471,826,473,825,506,586,503
57,516,239,519,238,543,57,540
1129,518,1263,518,1263,544,1129,544
271,520,384,520,384,544,271,544
928,520,1086,520,1086,546,928,546
